ID,start_X,start_Y,start_Z,start_node_type,end_X,end_Y,end_Z,end_node_type,Edge_Length,Length_Adjusted_m,LED_Ring_Diameter_m,strip_start_x,strip_start_y,strip_start_z,strip_end_x,strip_end_y,strip_end_z,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID
100,93.878403,16.764001000000007,1.0668,Regular,87.782402,10.668000000000006,1.0668,ArtNet,8.62,7.82,0.80,93.595560,16.481158,1.066800,88.065245,10.950843,1.066800,115,122
101,93.878403,41.148,1.0668,Regular,93.878403,35.051999,1.0668,ArtNet,6.10,5.30,0.80,93.878403,40.748000,1.066800,93.878403,35.451999,1.066800,123,113
102,93.878403,35.051999,1.0668,ArtNet,99.974403,28.955998000000008,2.8096,ArtNet,8.80,8.00,0.80,94.155638,34.774764,1.146059,99.697168,29.233233,2.730341,123,121
103,99.974403,57.30239900000001,2.8096,ArtNet,102.8002,54.254400000000004,4.8577,Intercom,4.63,3.83,0.80,100.218343,57.039277,2.986405,102.556260,54.517522,4.680895,119,124
104,99.974403,51.20640100000001,2.8096,ArtNet,93.878403,51.20640100000001,1.0668,ArtNet,6.34,5.54,0.80,99.589812,51.206401,2.699648,94.262994,51.206401,1.176752,125,120
105,99.974403,28.955998000000008,2.8096,ArtNet,102.8001,25.90800000000001,4.8577,Intercom,4.63,3.83,0.80,100.218338,28.692872,2.986407,102.556165,26.171126,4.680893,121,126
106,102.8002,54.254400000000004,4.8577,Intercom,99.974403,51.20640100000001,2.8096,ArtNet,4.63,3.83,0.80,102.556260,53.991278,4.680895,100.218343,51.469523,2.986405,125,124
107,4.571999,16.764001000000007,2.8925,ArtNet,10.667999,16.764001000000007,1.0668,ArtNet,6.36,5.56,0.80,4.955183,16.764001,2.777740,10.284815,16.764001,1.181560,5,11
108,4.571999,69.494399,2.8925,Regular,10.667999,63.39840000000001,1.0668,ArtNet,8.81,8.01,0.80,4.848705,69.217693,2.809629,10.391293,63.675106,1.149671,14,8
109,4.572006,28.956002000000005,2.8925,ArtNet,10.667999,22.860001000000004,1.0668,ArtNet,8.81,8.01,0.80,4.848712,28.679296,2.809629,10.391293,23.136707,1.149671,2,12
110,4.572006,28.956002000000005,2.8925,ArtNet,10.668007,35.051999,1.0668,ArtNet,8.81,8.01,0.80,4.848712,29.232708,2.809629,10.391301,34.775293,1.149671,18,2
111,10.667999,16.764001000000007,1.0668,ArtNet,16.764,10.668000000000006,1.0668,ArtNet,8.62,7.82,0.80,10.950842,16.481158,1.066800,16.481157,10.950843,1.066800,11,13
112,10.667999,57.302397000000006,1.0668,Regular,16.764,51.20640100000001,1.0668,ArtNet,8.62,7.82,0.80,10.950842,57.019554,1.066800,16.481157,51.489244,1.066800,23,15
113,16.764,69.49440000000001,1.0668,Regular,22.860001,69.49440100000001,1.0668,ArtNet,6.10,5.30,0.80,17.164000,69.494400,1.066800,22.460001,69.494401,1.066800,22,21
