ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length
111,10.667999,63.398399,1.066800,16.764000,69.494400,1.066800,8.621047
112,10.667999,22.860003,1.066800,16.764000,28.955999,1.066800,8.621044
113,16.764000,10.668000,1.066800,22.860001,10.667999,1.066800,6.096001
114,16.764000,35.052002,1.066800,22.860001,35.052002,1.066800,6.096001
115,22.860001,69.494400,1.066800,28.955994,75.590401,2.791400,8.791849
116,22.860001,22.860001,1.066800,28.956001,22.860001,1.066800,6.096001
117,28.956001,35.051998,1.066800,35.052006,39.014400,1.066800,7.270619
118,28.956001,35.051998,1.066800,28.956001,28.955999,1.066800,6.095999
119,28.955994,57.302399,1.066800,28.956001,51.206402,1.066800,6.095997
120,28.956001,51.206402,1.066800,28.956001,45.110401,1.066800,6.096001
121,35.052006,39.014400,1.066800,41.147999,39.014400,1.066800,6.095993
122,35.052002,22.860001,1.066800,41.148003,28.955999,1.066800,8.621045
123,35.052002,10.667999,1.066800,35.052002,4.572001,2.750600,6.324269
124,35.052006,57.302399,1.066800,35.052006,63.398399,1.066800,6.096001
125,35.052006,63.398399,1.066800,41.147999,63.398399,1.066800,6.095993
126,41.147999,39.014400,1.066800,47.243999,45.110401,1.066800,8.621047
127,41.148003,28.955999,1.066800,47.244003,28.955999,1.066800,6.096001
128,41.147999,10.668000,1.066800,47.243999,10.667999,1.066800,6.096001
129,41.147999,63.398399,1.066800,47.243999,57.302399,1.066800,8.621047
130,41.147999,51.206402,1.066800,47.243999,57.302399,1.066800,8.621044
131,51.206402,16.764000,1.066800,57.302399,16.764000,1.066800,6.095997
132,51.206402,16.764000,1.066800,51.206402,22.860001,1.066800,6.096001
133,51.206402,39.014400,1.066800,57.302399,35.052002,1.066800,7.270611
134,51.206402,51.206402,1.066800,57.302399,51.206402,1.066800,6.095997
135,57.302399,45.110401,1.066800,63.398399,39.014400,1.066800,8.621047
136,57.302399,69.494400,1.066800,63.398399,69.494400,1.066800,6.096001
137,57.302402,28.955999,1.066800,63.398399,22.860003,1.066800,8.621041
138,63.398399,10.667999,1.066800,69.494400,4.572001,2.750600,8.783940
139,63.398399,39.014400,1.066800,69.494400,45.110401,1.066800,8.621047
140,63.398399,57.302399,1.066800,69.494400,57.302399,1.066800,6.096001
141,63.398399,69.494400,1.066800,69.494400,75.590401,2.791400,8.791854
142,69.494400,4.572001,2.750600,72.542400,1.746200,4.857700,4.659970
143,69.494400,45.110401,1.066800,75.590393,51.206406,1.066800,8.621044
144,69.494400,57.302399,1.066800,75.590393,51.206406,1.066800,8.621036
145,75.590401,75.590401,2.791400,75.590401,69.494400,1.066800,6.335256
146,81.686401,45.110401,1.066800,87.782402,39.014400,1.066800,8.621047
147,81.686401,28.955999,1.066800,87.782402,22.860003,1.066800,8.621044
148,87.782402,35.052002,1.066800,93.878403,28.955999,1.066800,8.621048
149,87.782402,35.052002,1.066800,87.782402,39.014400,1.066800,3.962399
150,93.878403,57.302399,1.066800,93.878403,63.398399,1.066800,6.096001
