ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID,Type
114,16.764,45.110400000000006,1.0668,22.86,45.110400000000006,1.0668,6.10,20,28,Normal
115,22.86,10.668000000000006,1.0668,28.956,4.5745000000000005,2.7914,8.79,32,26,Normal
116,22.86,57.302400000000006,1.0668,28.956,57.302400000000006,1.0668,6.10,41,30,Normal
117,28.956,45.110400000000006,1.0668,35.052,41.148,1.0668,7.27,29,45,Normal
118,28.956,45.110400000000006,1.0668,28.956,51.2064,1.0668,6.10,29,34,Normal
119,28.956,22.860000000000007,1.0668,28.956,28.956000000000003,1.0668,6.10,37,38,Normal
120,28.956,28.956000000000003,1.0668,28.956,35.05200000000001,1.0668,6.10,38,40,Normal
121,35.052,41.148,1.0668,41.148,41.148,1.0668,6.10,45,50,Normal
122,35.052,57.302400000000006,1.0668,41.148,51.2064,1.0668,8.62,52,35,Normal
123,35.052,69.49440000000001,1.0668,35.052,75.5879,2.7506,6.32,47,46,Normal
124,35.052,22.860000000000007,1.0668,35.052,16.764000000000003,1.0668,6.10,49,48,Normal
125,35.052,16.764000000000003,1.0668,41.148,16.764000000000003,1.0668,6.10,49,54,Normal
126,41.148,41.148,1.0668,47.244,35.05200000000001,1.0668,8.62,58,50,Normal
127,41.148,51.2064,1.0668,47.244,51.2064,1.0668,6.10,52,60,Normal
128,41.148,69.49440000000001,1.0668,47.244,69.49440000000001,1.0668,6.10,62,53,Normal
129,41.148,16.764000000000003,1.0668,47.244,22.860000000000007,1.0668,8.62,64,54,Normal
130,41.148,28.956000000000003,1.0668,47.244,22.860000000000007,1.0668,8.62,64,56,Normal
131,51.2064,63.39840000000001,1.0668,57.3024,63.39840000000001,1.0668,6.10,67,73,Normal
132,51.2064,63.39840000000001,1.0668,51.2064,57.302400000000006,1.0668,6.10,67,61,Normal
133,51.2064,41.148,1.0668,57.3024,45.110400000000006,1.0668,7.27,69,76,Normal
134,51.2064,28.956000000000003,1.0668,57.3024,28.956000000000003,1.0668,6.10,59,77,Normal
135,57.3024,35.05200000000001,1.0668,63.3984,41.148,1.0668,8.62,80,75,Normal
136,57.3024,10.668000000000006,1.0668,63.3984,10.668000000000006,1.0668,6.10,82,70,Normal
137,57.3024,51.2064,1.0668,63.3984,57.302400000000006,1.0668,8.62,83,71,Normal
138,63.3984,69.49440000000001,1.0668,69.4944,75.5879,2.7506,8.78,85,74,Normal
139,63.3984,41.148,1.0668,69.4944,35.05200000000001,1.0668,8.62,80,87,Normal
140,63.3984,22.860000000000007,1.0668,69.4944,22.860000000000007,1.0668,6.10,78,89,Normal
141,63.3984,10.668000000000006,1.0668,69.4944,4.5745000000000005,2.7914,8.79,91,82,Normal
142,69.4944,75.5879,2.7506,72.5424,78.4162,4.8577,4.66,85,98,Intercom
143,69.4944,35.05200000000001,1.0668,75.5904,28.956000000000003,1.0668,8.62,102,87,Normal
144,69.4944,22.860000000000007,1.0668,75.5904,28.956000000000003,1.0668,8.62,102,89,Normal
145,75.5904,4.5745000000000005,2.7914,75.5904,10.668000000000006,1.0668,6.33,100,104,Normal
146,81.4719,34.8132,1.0668,87.7824,41.148,1.0668,8.94,112,105,Normal
147,81.6864,51.2064,1.0668,87.7824,57.302400000000006,1.0668,8.62,116,109,Normal
148,87.7824,45.110400000000006,1.0668,93.8784,51.2064,1.0668,8.62,111,120,Normal
149,87.7824,45.110400000000006,1.0668,87.7824,41.148,1.0668,3.96,111,112,Normal
150,93.8784,22.860000000000007,1.0668,93.8784,16.764000000000003,1.0668,6.10,114,122,Normal
