ID,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Type,Start_Pillar,End_Pillar
36,57.2837,51.2651,1.0670,63.3785,57.2767,1.0670,Normal,P86,P95
37,63.3785,57.2767,1.0670,63.3785,63.4148,1.0670,Normal,P95,P106
38,69.5405,57.2767,1.0670,75.5348,51.2651,1.0670,Normal,P96,P87
39,63.3785,69.4965,1.0670,63.3785,63.4148,1.0670,Normal,P116,P106
40,69.5405,75.4783,2.9030,72.5425,78.2640,4.7460,Intercom,P123,P126
41,75.5348,63.4148,1.0670,75.5348,69.4965,1.0670,Normal,P107,P117
42,75.5348,69.4965,1.1350,75.5348,75.4783,2.7230,Normal,P117,P124
43,75.5348,75.4783,2.9030,72.5425,78.2640,4.7460,Intercom,P124,P126
44,81.6778,69.4965,1.0670,87.7862,69.4965,1.0670,Normal,P118,P119
45,87.7862,69.4965,1.0670,93.8414,63.4148,1.0670,Normal,P119,P108
46,93.8414,63.4148,1.0670,93.8414,57.2767,1.0670,Normal,P108,P99
47,93.8414,57.2767,1.1160,99.9323,51.2651,2.7600,Normal,P99,P88
48,87.7862,57.2767,1.0670,81.6778,57.2767,1.0670,Normal,P98,P97
49,81.6778,57.2767,1.0670,75.5348,51.2651,1.0670,Normal,P97,P87
50,75.5348,51.2651,1.0670,81.6778,45.1066,1.0760,Normal,P87,P78
51,69.5405,45.1066,1.0670,69.5405,39.0475,1.0670,Normal,P77,P68
52,63.3785,39.0475,1.0670,57.2837,45.1066,1.0670,Normal,P67,P76
53,69.5405,39.0475,1.0670,69.5405,35.0487,1.0670,Normal,P68,P60
54,69.5405,35.0487,1.0670,75.5348,28.9179,1.0670,Normal,P60,P51
